"id"	"sex"	"liquor"	"ice"	"drunk"	"age"	"food"
104	"Female"	0	1	1	36	1
105	"Female"	1	1	1	26	0
106	"Male"	0	0	1	39	0
107	"Female"	0	0	1	32	1
108	"Male"	1	0	1	44	0
109	"Male"	1	1	0	27	0
110	"Female"	1	1	0	39	1
111	"Male"	0	0	0	46	0
112	"Male"	1	0	0	35	0
113	"Female"	1	0	1	31	1
114	"Male"	1	1	1	35	0
115	"Male"	0	0	0	40	0
116	"Female"	1	1	1	32	1
117	"Male"	1	0	0	33	1
118	"Male"	1	1	1	43	0
119	"Female"	1	1	0	45	1
120	"Female"	1	1	1	40	0
121	"Male"	1	1	1	35	0
122	"Male"	0	0	0	38	1
123	"Female"	0	1	1	39	1
124	"Male"	1	1	1	41	0
125	"Female"	0	1	0	38	1
126	"Male"	1	1	1	37	0
127	"Male"	0	0	0	38	0
128	"Female"	0	0	1	31	1
129	"Male"	1	0	1	41	0
130	"Female"	1	1	0	37	1
131	"Male"	1	1	1	28	0
132	"Male"	1	1	0	40	0
133	"Female"	1	1	1	47	0
134	"Male"	1	0	1	41	0
135	"Female"	1	1	1	39	1
136	"Female"	1	1	1	36	0
137	"Male"	1	1	0	38	0
138	"Female"	1	1	1	41	0
139	"Male"	1	1	1	37	0
140	"Female"	0	0	0	35	1
141	"Female"	1	1	0	30	1
142	"Female"	1	1	1	39	1
143	"Female"	1	0	1	33	1
144	"Female"	1	1	0	37	1
145	"Male"	1	1	1	38	0
146	"Female"	1	1	0	37	1
147	"Male"	1	0	0	41	1
148	"Female"	1	1	0	39	1
149	"Female"	1	1	1	43	1
150	"Male"	1	1	0	39	0
151	"Female"	1	1	1	27	1
152	"Male"	1	1	0	19	0
153	"Female"	1	0	0	42	1
154	"Male"	1	0	0	43	0
155	"Male"	1	1	0	38	0
156	"Male"	1	0	1	38	0
157	"Female"	1	1	0	38	1
158	"Female"	1	1	1	37	1
159	"Male"	1	1	0	37	0
160	"Male"	1	1	0	36	0
161	"Female"	1	1	1	39	0
162	"Female"	0	0	1	40	1
163	"Male"	1	1	1	35	0
164	"Male"	1	0	1	36	0
165	"Male"	0	0	0	34	1
166	"Female"	1	1	0	35	1
167	"Male"	0	0	0	33	0
168	"Male"	1	1	1	39	0
169	"Female"	1	1	1	29	0
170	"Female"	0	0	0	27	1
171	"Male"	1	1	1	40	0
172	"Female"	0	0	0	32	1
173	"Male"	0	0	0	41	0
174	"Female"	0	0	1	29	1
175	"Female"	1	1	1	38	0
176	"Female"	0	0	0	28	1
177	"Female"	1	1	1	34	1
178	"Male"	1	1	1	46	0
179	"Female"	0	0	0	39	1
180	"Male"	1	1	1	32	0
181	"Male"	0	0	1	39	0
182	"Male"	1	1	0	34	0
183	"Female"	1	1	1	36	0
184	"Male"	1	1	1	38	0
185	"Female"	0	1	0	32	1
186	"Male"	1	1	1	48	0
187	"Female"	1	1	1	30	1
188	"Male"	0	0	1	38	0
189	"Female"	0	0	0	30	1
190	"Female"	1	1	1	30	0
191	"Male"	0	1	1	34	0
192	"Female"	0	1	1	31	1
193	"Male"	0	0	0	39	0
194	"Male"	1	1	1	42	0
195	"Female"	0	0	1	38	1
196	"Female"	1	1	1	30	0
197	"Female"	1	1	1	39	1
198	"Male"	0	0	1	39	0
199	"Male"	0	0	1	40	0
200	"Male"	1	1	0	45	0
201	"Male"	1	1	1	39	0
202	"Male"	1	1	0	32	0
203	"Female"	1	1	1	39	0
204	"Male"	1	1	1	36	0
205	"Male"	1	1	1	33	0
206	"Female"	1	1	1	30	0
207	"Female"	1	1	1	29	1
208	"Male"	0	0	1	38	0
209	"Female"	1	0	1	28	1
210	"Female"	0	0	1	35	1
211	"Male"	0	0	1	36	0
212	"Female"	1	1	1	42	0
213	"Male"	1	1	0	39	0
214	"Female"	0	0	1	37	1
215	"Female"	0	0	0	38	1
216	"Male"	1	1	1	38	0
217	"Female"	1	1	0	33	1
218	"Male"	1	1	1	28	0
219	"Female"	0	0	1	33	1
220	"Male"	1	1	1	41	0
221	"Female"	0	0	1	44	1
222	"Male"	1	1	1	41	0
223	"Female"	0	0	0	41	1
224	"Male"	1	0	1	33	0
225	"Male"	1	1	0	36	0
226	"Female"	1	1	1	33	1
227	"Female"	1	1	0	37	1
228	"Male"	0	1	1	40	0
229	"Female"	0	0	0	33	1
230	"Female"	1	1	0	36	1
231	"Female"	1	0	0	34	1
232	"Male"	1	1	0	32	0
233	"Male"	1	1	0	36	0
234	"Female"	1	1	1	33	1
235	"Female"	1	1	1	29	1
236	"Male"	0	0	0	33	0
237	"Male"	1	1	1	45	0
238	"Female"	0	0	0	38	1
239	"Female"	0	0	1	37	1
240	"Male"	1	1	1	40	0
241	"Female"	0	0	0	39	1
242	"Male"	0	0	0	39	0
243	"Male"	1	1	1	46	0
244	"Female"	0	1	1	33	1
245	"Male"	1	1	0	32	0
246	"Female"	0	0	1	43	1
247	"Male"	0	0	1	39	0
248	"Male"	1	1	0	34	0
249	"Male"	1	0	1	42	0
250	"Male"	1	1	1	33	0
251	"Female"	1	1	1	41	0
252	"Female"	1	0	0	38	1
253	"Male"	0	0	1	31	0
254	"Female"	1	1	1	23	1
255	"Female"	1	0	0	23	1
256	"Male"	0	0	0	41	0
257	"Male"	1	0	1	39	0
258	"Female"	0	0	1	35	1
259	"Male"	1	1	1	39	0
260	"Female"	1	1	0	39	1
261	"Female"	1	1	1	34	1
262	"Male"	1	1	1	43	0
263	"Male"	1	1	0	37	0
264	"Male"	1	0	0	33	0
265	"Male"	1	1	0	33	0
266	"Male"	1	1	1	30	0
267	"Female"	0	1	1	30	1
268	"Female"	1	1	0	30	1
269	"Male"	1	1	1	33	0
270	"Female"	0	0	1	28	1
271	"Female"	1	1	0	30	1
272	"Male"	1	1	1	34	0
273	"Male"	1	1	1	34	0
274	"Female"	1	1	1	31	0
275	"Male"	1	1	1	23	0
276	"Male"	0	0	0	47	0
277	"Male"	1	1	1	38	0
278	"Male"	0	1	1	44	0
279	"Female"	0	0	1	38	1
280	"Male"	1	1	1	39	0
281	"Male"	1	1	0	39	0
282	"Male"	1	1	1	32	0
283	"Male"	1	1	1	40	0
284	"Female"	0	0	0	38	1
285	"Female"	1	0	1	32	1
286	"Male"	1	1	1	44	0
287	"Female"	1	1	1	39	0
288	"Female"	0	0	0	32	1
289	"Female"	1	1	1	38	1
290	"Male"	0	0	0	32	0
291	"Male"	1	0	0	42	0
292	"Female"	0	0	0	35	1
293	"Male"	1	1	0	30	0
294	"Male"	0	0	0	38	1
295	"Female"	1	1	1	38	1
296	"Male"	1	1	1	34	0
297	"Male"	0	0	1	33	0
298	"Female"	0	0	0	30	1
299	"Female"	1	1	1	32	1
300	"Female"	0	0	0	29	1
301	"Male"	0	1	0	38	0
302	"Male"	0	1	1	44	0
303	"Female"	1	1	0	28	1
304	"Female"	0	0	0	32	1
305	"Male"	0	0	1	41	0
306	"Female"	0	0	1	40	1
307	"Female"	1	1	0	27	1
308	"Male"	0	1	0	37	0
309	"Female"	0	0	1	39	1
310	"Female"	0	1	1	30	1
311	"Female"	1	1	1	44	1
312	"Male"	1	1	1	36	0
313	"Female"	1	1	0	33	1
314	"Male"	1	1	1	30	0
315	"Male"	0	0	1	44	0
316	"Female"	1	1	0	24	1
317	"Female"	1	1	1	38	0
318	"Male"	1	0	1	37	0
319	"Male"	0	0	1	42	0
320	"Female"	0	1	0	29	1
321	"Male"	0	0	1	42	0
322	"Female"	1	1	1	35	1
323	"Female"	0	1	1	41	1
324	"Female"	0	0	1	31	1
325	"Male"	0	0	1	35	1
326	"Female"	1	1	1	33	1
327	"Male"	0	0	1	41	1
328	"Male"	1	1	1	44	0
329	"Female"	1	1	1	29	1
330	"Female"	0	0	1	32	1
331	"Female"	1	0	1	37	1
332	"Female"	0	0	0	38	1
333	"Female"	1	1	1	41	1
334	"Male"	1	1	1	36	0
335	"Male"	0	0	0	37	0
336	"Female"	1	1	1	24	1
337	"Female"	1	1	1	44	1
338	"Male"	1	1	1	44	0
339	"Female"	0	0	0	27	1
340	"Male"	1	0	1	41	0
341	"Female"	0	0	0	38	1
342	"Male"	0	0	0	35	0
343	"Male"	1	0	1	50	0
344	"Male"	1	1	1	38	0
345	"Male"	1	1	1	43	0
346	"Male"	1	1	1	30	0
347	"Male"	1	1	0	35	0
348	"Female"	1	1	1	34	0
349	"Male"	1	0	0	41	1
350	"Male"	0	0	0	33	1
351	"Male"	1	1	1	42	0
352	"Male"	0	0	1	36	0
353	"Female"	1	1	1	36	0
354	"Female"	1	1	1	37	0
355	"Male"	1	1	1	40	0
356	"Male"	0	0	1	40	1
357	"Female"	0	0	0	31	1
358	"Female"	1	1	1	36	1
359	"Male"	1	1	0	42	0
360	"Female"	1	1	0	33	1
361	"Female"	0	0	0	40	1
362	"Male"	0	0	1	28	0
363	"Male"	0	0	1	32	0
364	"Female"	1	1	1	38	0
365	"Female"	0	1	0	34	1
366	"Female"	1	1	0	35	1
367	"Female"	1	1	1	42	0
368	"Male"	1	1	1	34	0
369	"Male"	1	1	1	36	0
370	"Male"	1	1	1	42	0
371	"Male"	1	1	1	36	0
372	"Male"	0	0	0	45	0
373	"Male"	0	1	0	33	0
374	"Female"	1	1	0	44	1
375	"Female"	1	1	1	31	0
376	"Male"	0	0	0	36	0
377	"Female"	0	0	0	34	1
378	"Female"	1	1	0	37	1
379	"Male"	1	0	0	30	0
380	"Female"	1	1	0	28	1
381	"Male"	1	1	1	38	0
382	"Male"	0	0	1	41	0
383	"Male"	1	1	0	43	0
384	"Female"	0	1	0	21	1
385	"Male"	1	1	0	30	0
386	"Female"	1	1	1	34	0
387	"Female"	1	1	0	38	1
388	"Female"	1	1	1	40	1
389	"Female"	1	1	1	44	1
390	"Male"	1	1	0	38	0
391	"Male"	1	1	1	42	0
392	"Female"	1	1	1	40	1
393	"Male"	1	1	1	33	0
394	"Male"	1	1	1	32	0
395	"Male"	1	1	1	24	0
396	"Male"	1	0	0	47	1
397	"Male"	0	0	0	39	0
398	"Female"	1	1	0	34	1
399	"Female"	1	1	1	39	0
400	"Female"	1	1	1	34	1
401	"Female"	1	1	1	31	0
402	"Male"	1	0	1	33	0
403	"Female"	1	1	1	38	0
404	"Female"	1	1	1	39	1
405	"Female"	1	1	1	26	0
406	"Female"	1	0	0	31	1
407	"Female"	1	1	1	35	0
408	"Female"	1	1	1	33	0
409	"Female"	1	0	0	32	1
410	"Female"	1	0	1	38	1
411	"Female"	1	1	1	33	0
412	"Male"	0	0	0	34	0
413	"Male"	1	1	1	37	0
414	"Female"	0	0	1	31	1
415	"Female"	1	1	1	34	0
416	"Female"	1	1	1	38	1
417	"Female"	0	0	0	25	1
418	"Female"	1	1	1	39	0
419	"Male"	1	1	1	31	0
420	"Male"	1	1	0	32	0
421	"Male"	1	0	1	33	0
422	"Male"	0	0	1	32	0
423	"Male"	0	0	0	21	0
424	"Female"	1	1	1	35	1
425	"Female"	1	0	1	34	1
426	"Male"	1	1	1	34	0
427	"Female"	1	0	0	26	1
428	"Female"	1	1	1	30	1
429	"Male"	1	1	0	45	0
430	"Female"	1	0	1	34	1
431	"Male"	1	1	1	33	0
432	"Female"	1	1	1	38	0
433	"Female"	1	1	0	35	1
434	"Female"	0	0	0	40	1
435	"Female"	1	1	1	29	1
436	"Female"	1	1	1	31	1
437	"Female"	1	0	1	26	1
438	"Female"	1	0	1	40	1
439	"Male"	1	1	0	35	0
440	"Female"	1	0	0	35	1
441	"Female"	1	0	1	32	1
442	"Male"	0	1	0	41	0
443	"Female"	0	0	1	31	1
444	"Male"	0	0	1	36	0
445	"Male"	1	1	1	30	0
446	"Female"	1	0	1	40	1
447	"Male"	1	1	1	34	0
448	"Female"	1	0	1	43	1
449	"Female"	1	1	1	44	0
450	"Female"	1	1	1	36	1
451	"Male"	0	0	0	35	0
452	"Female"	1	1	1	37	0
453	"Female"	1	1	1	35	1
454	"Female"	1	1	0	32	1
455	"Male"	1	1	1	41	0
456	"Female"	1	1	1	32	1
457	"Male"	1	1	1	38	0
458	"Female"	1	0	1	41	1
459	"Female"	0	0	1	31	1
460	"Female"	0	0	0	32	1
461	"Male"	1	0	0	38	1
462	"Female"	1	1	1	44	0
463	"Female"	1	0	1	33	1
464	"Male"	0	1	0	39	0
465	"Male"	1	0	1	35	0
466	"Female"	0	0	1	39	1
467	"Male"	1	1	1	41	0
468	"Male"	1	1	1	34	0
469	"Female"	0	0	0	29	1
470	"Male"	1	1	1	38	0
471	"Female"	0	1	0	27	1
472	"Male"	1	1	1	36	0
473	"Female"	0	1	1	27	1
474	"Male"	0	0	1	33	0
475	"Female"	1	1	1	37	0
476	"Male"	1	1	1	37	0
477	"Male"	0	1	0	37	0
478	"Female"	1	1	0	32	1
479	"Male"	1	1	0	40	0
480	"Female"	1	1	1	47	0
481	"Female"	1	1	0	36	1
482	"Female"	0	0	0	43	1
483	"Male"	0	0	0	34	0
484	"Male"	1	1	0	31	0
485	"Female"	1	1	0	39	1
486	"Male"	1	1	0	38	0
487	"Female"	0	1	0	42	1
488	"Male"	1	0	1	40	0
489	"Male"	0	1	1	42	0
490	"Female"	1	0	1	37	1
491	"Male"	0	0	1	31	0
492	"Male"	0	0	1	35	1
493	"Female"	1	0	1	40	1
494	"Male"	1	1	1	34	0
495	"Male"	1	1	1	35	0
496	"Male"	1	0	1	37	0
497	"Female"	1	1	1	37	0
498	"Female"	1	1	1	35	1
499	"Male"	1	1	0	35	0
500	"Female"	1	1	1	29	0
501	"Female"	0	1	0	35	1
502	"Male"	1	1	1	32	0
503	"Female"	1	1	0	25	1
504	"Male"	0	0	0	44	0
505	"Female"	1	1	0	31	1
506	"Male"	1	1	1	36	0
507	"Male"	1	1	1	35	0
508	"Male"	0	0	0	41	1
509	"Male"	1	0	1	37	0
510	"Male"	1	1	0	36	0
