"sid"	"type"	"before"	"after"	"oven"
273	"maize"	353	232	"Gas"
274	"wheat"	339	179	"Firewood"
275	"wheat"	349	257	"Gas"
276	"wheat"	421	228	"Gas"
277	"wheat"	364	196	"Firewood"
278	"wheat"	400	183	"Firewood"
279	"maize"	378	188	"Firewood"
280	"maize"	325	200	"Firewood"
281	"wheat"	400	231	"Firewood"
282	"maize"	370	194	"Gas"
283	"maize"	388	218	"Firewood"
284	"maize"	310	250	"Firewood"
285	"maize"	374	196	"Gas"
286	"wheat"	383	186	"Gas"
287	"maize"	361	208	"Gas"
288	"maize"	397	157	"Gas"
289	"maize"	379	181	"Firewood"
290	"maize"	360	226	"Gas"
291	"maize"	380	197	"Gas"
292	"wheat"	402	192	"Gas"
293	"maize"	346	210	"Gas"
294	"maize"	370	197	"Firewood"
295	"maize"	355	212	"Firewood"
296	"maize"	408	182	"Gas"
297	"wheat"	336	235	"Gas"
298	"maize"	346	199	"Gas"
299	"maize"	368	197	"Firewood"
300	"maize"	367	242	"Gas"
301	"maize"	409	184	"Firewood"
302	"wheat"	387	225	"Firewood"
303	"maize"	336	252	"Firewood"
304	"maize"	391	190	"Gas"
305	"maize"	352	213	"Firewood"
306	"maize"	357	171	"Gas"
307	"wheat"	410	246	"Gas"
308	"wheat"	447	266	"Firewood"
309	"maize"	354	181	"Gas"
310	"wheat"	394	223	"Gas"
311	"wheat"	422	241	"Firewood"
312	"maize"	341	216	"Gas"
313	"wheat"	358	184	"Firewood"
314	"maize"	339	158	"Firewood"
315	"maize"	362	216	"Gas"
316	"maize"	371	187	"Firewood"
317	"maize"	382	192	"Firewood"
318	"wheat"	411	254	"Firewood"
319	"maize"	350	258	"Firewood"
320	"wheat"	400	246	"Firewood"
321	"maize"	349	222	"Gas"
322	"maize"	354	184	"Firewood"
323	"maize"	368	216	"Gas"
324	"wheat"	376	237	"Gas"
325	"maize"	404	169	"Gas"
326	"wheat"	407	193	"Gas"
327	"maize"	386	247	"Gas"
328	"wheat"	399	223	"Firewood"
329	"maize"	346	187	"Gas"
330	"wheat"	400	243	"Gas"
331	"wheat"	404	285	"Gas"
332	"maize"	327	161	"Gas"
333	"wheat"	373	238	"Firewood"
334	"maize"	363	181	"Gas"
335	"maize"	375	187	"Gas"
336	"wheat"	414	276	"Gas"
337	"maize"	357	208	"Firewood"
338	"wheat"	367	179	"Gas"
339	"maize"	388	188	"Firewood"
340	"wheat"	367	247	"Gas"
341	"wheat"	423	226	"Gas"
342	"maize"	380	238	"Firewood"
343	"maize"	378	180	"Gas"
344	"maize"	376	225	"Firewood"
345	"wheat"	409	255	"Gas"
346	"maize"	384	208	"Gas"
347	"wheat"	397	214	"Gas"
348	"wheat"	381	283	"Firewood"
349	"wheat"	376	213	"Gas"
350	"maize"	376	193	"Firewood"
351	"wheat"	416	272	"Firewood"
352	"wheat"	382	211	"Firewood"
353	"wheat"	382	247	"Gas"
354	"wheat"	394	266	"Firewood"
355	"maize"	355	178	"Firewood"
356	"wheat"	346	224	"Firewood"
357	"maize"	324	183	"Firewood"
358	"maize"	386	159	"Firewood"
359	"maize"	342	252	"Gas"
360	"maize"	335	202	"Firewood"
361	"maize"	367	216	"Gas"
362	"wheat"	362	269	"Gas"
363	"maize"	390	182	"Gas"
364	"wheat"	416	269	"Firewood"
365	"maize"	375	201	"Gas"
366	"maize"	353	221	"Firewood"
367	"wheat"	382	245	"Firewood"
368	"wheat"	412	217	"Gas"
369	"maize"	348	196	"Gas"
370	"maize"	342	197	"Gas"
371	"wheat"	371	283	"Gas"
372	"wheat"	378	240	"Firewood"
373	"maize"	325	181	"Firewood"
374	"wheat"	397	244	"Gas"
375	"maize"	366	211	"Gas"
376	"wheat"	426	230	"Firewood"
377	"maize"	388	174	"Gas"
378	"wheat"	429	172	"Gas"
379	"maize"	348	185	"Firewood"
380	"maize"	391	185	"Firewood"
381	"wheat"	390	245	"Firewood"
382	"maize"	343	195	"Gas"
383	"wheat"	419	252	"Gas"
384	"maize"	388	202	"Firewood"
385	"maize"	363	191	"Gas"
386	"maize"	350	260	"Firewood"
387	"wheat"	412	188	"Firewood"
388	"wheat"	448	284	"Firewood"
389	"wheat"	438	253	"Gas"
390	"wheat"	416	249	"Firewood"
391	"maize"	351	193	"Gas"
392	"maize"	357	218	"Firewood"
393	"maize"	375	184	"Gas"
394	"maize"	392	226	"Gas"
395	"maize"	404	195	"Firewood"
396	"maize"	379	222	"Gas"
397	"wheat"	399	215	"Gas"
398	"wheat"	455	246	"Firewood"
399	"maize"	340	216	"Firewood"
